id,track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0,7v71Aur70pf46NQIoSQii7,Knock You Out - Hardwell Remix,Bingo Players,0,7q5EDnr3FhMjwSMQciMqqH,Knock You Out (Remixes),6/17/2014,@deniceemoberg EDM - POP REMIXES,2fbrY1tuoW8Uji14H7623k,edm,pop edm,0.611,0.909,9,-3.967,0,0.0493,0.0373,0.00501,0.0829,0.215,128.039,386279
1,1oTHteQbmJw15rPxPVXUTv,Insane in the Brain,Cypress Hill,70,02lktkm4J7K7N8T63Gm7KX,Black Sunday,7/20/1993,90's Hip Hop Ultimate Collection,4IG024zoaGMurhTFBkMAv9,rap,southern hip hop,0.897,0.612,11,-10.489,1,0.211,0.0297,0.186,0.0894,0.767,102.305,208267
2,44evOHkEKmJ5VofpPo0ta9,Chill Cloud,Joan Ember,39,7Bopcb1Ld22bhXdzddvwot,Chill Cloud,1/10/2020,Charts 2020 🔥Top 2020🔥Hits 2020🔥Summer 2020🔥Pop 2020🔥Popular Music🔥Clean Pop 2020🔥Sing Alongs,3xMQTDLOIGvj3lWH5e5x6F,edm,pop edm,0.748,0.677,7,-5.635,1,0.0688,0.114,0,0.202,0.537,110.04,185466
3,2b6i9zx3ULzKrNWmyP0ePD,C90 (Remix),John C,78,16a33enqgAGsnuMmRH7uHa,C90 (Remix),12/18/2019,Trapperz,37i9dQZF1DWUmxBdWX3Pp4,rap,trap,0.867,0.761,1,-5.1,1,0.0937,0.336,2.12e-06,0.0654,0.609,122.952,316000
4,6DrUHF3EWygcmQ0DIF8KP4,Te Olvidaré,MYA,67,4WTOdIQXRzSV6xCZbfKJna,Te Olvidaré,6/5/2019,Punto Tropical,37i9dQZF1DWZ1FUX6sM67g,latin,tropical,0.669,0.871,7,-3.681,1,0.0671,0.0748,0,0.347,0.882,75.014,185415
5,766RKRQ1ZJjmdBQ9y54HKj,Animals - Original Mix,Martin Garrix,5,63Xla1b6MLjkfo8An0Fjib,Animals,10/8/2013,Fitness Workout Electro | House | Dance | Progressive House,6KnQDwp0syvhfHOR4lWP7x,edm,progressive electro house,0.674,0.866,1,-6.384,1,0.0386,0.00138,0.699,0.383,0.0376,128.012,304240
6,3dWJfg6c9CFIKtZHkmz2ZF,Donne-moi l’accord,Dadju,60,7HQqRTeLUgnqxhIacnisWy,Poison Ou Antidote,12/19/2019,Global X,37i9dQZF1DWUxHPh2rEiHr,latin,latin pop,0.838,0.831,5,-6.568,0,0.0524,0.254,0,0.0912,0.923,99.045,186600
7,1unvk9w2ikBIxcluIwPEvT,Goliath,Dyro,39,2FxN4LTroUxE9Yw3lAadi4,Goliath,7/19/2019,Electro House,6k45gxiQhfVqACfIdqONsC,edm,electro house,0.543,0.823,11,-6.076,0,0.0853,0.000428,0.849,0.0939,0.123,127.952,170630
8,0jnNF53wBDWdMFZTt0ZLe0,Money Monica,Hansie,42,7JJvolb68h3NgPFkSnYYyv,Money Monica,3/15/2019,🔥🦁 GOOD VIBES ONLY 🦁🔥 // BROEDERLIEFDE || FRENNA || BROEDERS || HENKIE T  || BIZZEY || POKE \\,1d0fonZHpN4LYHTKbmNRbm,latin,latin hip hop,0.582,0.768,6,-6.108,0,0.262,0.238,0,0.132,0.87,103.874,217439
9,0W79y7M0f7qbaIpYCJ6wWO,Hail Mary,2Pac,1,6KwC7GaK6R7Uphby8bnmqk,2Pac Greatest Hits (Explicit Version),1/1/1998,Oldschool Gangsta Rap 👑,0t9TeyXE2mWe70JT3YwSoH,rap,gangster rap,0.791,0.638,10,-6.362,0,0.246,0.153,3.98e-06,0.36,0.393,82.102,312373
10,1oHkXeW88HEtFt6P3TvBIt,Whisper,Blac Youngsta,61,3Pa7JytWVcEf3Unec8qku8,Church on Sunday,11/29/2019,New Hip Hop‏‏​​   ‍,5WNUX6jisX0NRlVDTm6RDd,r&b,urban contemporary,0.893,0.783,7,-4.173,1,0.236,0.0259,0,0.197,0.584,101.993,197192
11,3lGBvPUgO7MJltUnBlOpe9,Mass Appeal,Gang Starr,61,67kl5m0df6Bn0aSe3g5Ea7,Hard To Earn,3/8/1994,90's Hip Hop Ultimate Collection,4IG024zoaGMurhTFBkMAv9,rap,southern hip hop,0.808,0.726,10,-8.435,0,0.252,0.0208,0.276,0.129,0.616,96.12,221027
12,0ARK753YaiJbpLUk7z5yIM,Dilemma,Nelly,77,4HUUHHXBXImwksfbSPqE7q,Nellyville,6/25/2002,90s-2000s Southern Hip Hop / Crunk,5wsWBmQgDtKa8CEg7wTEMi,rap,southern hip hop,0.727,0.552,2,-8.074,0,0.14,0.227,0.000164,0.198,0.607,168.189,289160
13,4YDdWcdzHhLDZ5d1j9nRaJ,Open Your Eyes,Disturbed,55,1ROVEUk4lc2vD4a0IN1TWS,Immortalized (Deluxe Edition),8/15/2015,Workout Hard Rock,4TG1lzMD9HFvZ9E1Bk6Gnu,rock,hard rock,0.579,0.973,5,-2.152,0,0.09,0.000145,0.0567,0.226,0.677,116.025,237347
14,4zXvB4MoQD8onk0NCZbeHG,Home Sweet Home,Mötley Crüe,70,18fYN6Hlig5t7ObBfQYUPe,Theatre of Pain,1985,Nikki Sixx's Top Pixx,5d1arTPDEr76KMg9geDinZ,rock,album rock,0.403,0.777,5,-6.416,1,0.0354,0.0999,3.28e-06,0.124,0.149,76.329,240933
15,2YvcZ3xSlSLFEuDLybGzDb,Lost Soul,Deniz Koyu,58,4zubK6EqFnFapPsk3W9FQW,Lost Soul,8/30/2019,"Festival Music 2019 - Warm Up Music (EDM, Big Room & Progressive House)",73uj4YmsC7SJ6SbUMTvf07,edm,progressive electro house,0.567,0.877,4,-3.214,1,0.0314,0.00166,0.000342,0.0992,0.341,125.007,230625
16,0hR6TuU1AnS1BuJPOG406P,Selfish,Falco,32,0yE3lhp1ychisnZqWPd4I8,Selfish,4/10/2018,🔊BASSBOOSTED🔊⚡ELECTRO HOUSE⚡🔥EDM CAR MUSIC2018/2019🔥,4GSiiL8tcMgvoV7K1IADb8,edm,electro house,0.87,0.625,9,-12.658,0,0.0486,0.0506,0.101,0.113,0.0985,125.017,176413
17,6lnP51cMlqpZ8bwmyVlgvG,She's A Beauty,The Tubes,45,5VHuYTXOvy0Cx8BqRSRzFn,Best Of,1/1/1992,Classic Rock Greatest Hits,6TeyryiZ2UEf3CbLXyztFA,rock,classic rock,0.694,0.787,2,-9.569,1,0.0363,0.0913,0.0106,0.0562,0.667,111.157,237240
18,1EPtSITu19y0DQvbIvs6Jz,Zweistellige Haftstrafen,Capital Bra,55,186E5XovNHY19VgZPNjHJs,BLYAT,9/29/2017,GANGSTA Rap,5GA8GDo7RQC3JEanT81B3g,rap,gangster rap,0.742,0.714,11,-3.882,0,0.336,0.135,0.0028,0.253,0.481,179.756,174547
19,2wZJLu2kZfZW05Surb58Fs,Dancing Cheek to Cheek - Remix by Sefi Carmel Feat. Gani Tamir,Fred A. Staire,31,0LrEGL1wlut5B9sWXsomlN,Puttin' on the Ritz - A Tribute to Fred Astaire,12/1/2017,Electro Swing Top 100,5M7xLCQTYJL0lbKIrUn3a4,edm,electro house,0.798,0.832,0,-5.34,1,0.0916,0.167,0.0169,0.105,0.717,117.967,225890
20,5W6445TK7A4ZU0WR6iGKZz,Detenido,Pekeño 77,59,33oLczPO3ksopKsT4M6DPM,Detenido,9/6/2019,Trapperz,37i9dQZF1DWUmxBdWX3Pp4,rap,trap,0.769,0.867,0,-2.809,1,0.166,0.386,0,0.126,0.688,130.165,140212
21,0kKJa4YVYjAclqRO7J99xK,Talk To Me - Frdy Remix,Topic,36,1Eu1Cnyho9cjFocVbe2Str,Talk To Me,4/12/2019,PAROOKAVILLE - Big Room,6vbHQdtfmexb0ptmBSpemm,edm,big room,0.659,0.875,10,-4.337,0,0.243,0.011,4.15e-05,0.267,0.517,128.252,174375
22,5afHIkEcVhCF1Z1CTqMUXB,Ain't Nobody (Loves Me Better),Felix Jaehn,19,3beitV4REkUMQn4BXZlD8F,Ain't Nobody (Loves Me Better),3/3/2015,Tropical House Remixes 🍍 Tropical Remixes & Tropical Covers,3YdAwfgQLMS4AN2WjRfRlb,latin,tropical,0.768,0.567,2,-7.046,0,0.0312,0.66,0.000277,0.07,0.471,117.974,186147
